iter	Passed	Remaining
0	266	399996
1	467	350186
2	703	351140
3	1120	419218
4	1422	425424
5	1616	402505
6	1804	384822
7	2044	381211
8	2254	373466
9	2460	366568
10	2663	360500
11	2851	353601
12	3067	350892
13	3287	348950
14	3479	344483
15	3701	343328
16	3934	343228
17	4122	339395
18	4318	336617
19	4561	337570
20	4787	337161
21	4982	334756
22	5176	332448
23	5392	331625
24	5581	329292
25	5765	326868
26	5959	325136
27	6178	324811
28	6387	324004
29	6573	322101
30	6805	322501
31	7009	321573
32	7220	320981
33	7411	319546
34	7606	318405
35	7810	317636
36	8000	316325
37	8197	315374
38	8397	314593
39	8584	313344
40	8773	312204
41	9025	313320
42	9246	313314
43	9467	313292
44	9726	314501
45	9956	314711
46	10172	314476
47	10375	313848
48	10587	313522
49	10769	312325
50	10957	311335
51	11148	310439
52	11330	309333
53	11517	308425
54	11725	308071
55	11915	307246
56	12099	306320
57	12289	305533
58	12486	304954
59	12679	304297
60	12870	303607
61	13048	302644
62	13234	301871
63	13411	300913
64	13598	300214
65	13795	299730
66	14000	299433
67	14182	298674
68	14367	297972
69	14551	297261
70	14757	297013
71	14953	296569
72	15141	295985
73	15336	295529
74	15537	295211
75	15741	294937
76	15941	294606
77	16134	294138
78	16315	293468
79	16510	293067
80	16692	292423
81	16869	291726
82	17050	291090
83	17247	290737
84	17450	290491
85	17652	290233
86	17854	289984
87	18057	289748
88	18243	289229
89	18459	289193
90	18657	288876
91	18830	288195
92	19012	287647
93	19195	287117
94	19385	286703
95	19562	286105
96	19747	285632
97	19961	285578
98	20149	285144
99	20340	284765
100	20528	284353
101	20718	283961
102	20907	283577
103	21093	283134
104	21281	282736
105	21522	283046
106	21713	282677
107	21889	282128
108	22075	281711
109	22275	281483
110	22469	281176
111	22659	280811
112	22845	280414
113	23037	280088
114	23233	279811
115	23423	279464
116	23606	279035
117	23786	278589
118	23973	278209
119	24162	277865
120	24357	277595
121	24600	277859
122	24782	277442
123	24964	277023
124	25139	276530
125	25338	276314
126	25538	276097
127	25750	276012
