id,motion_intensity,scene_change_count
VIDEO_7072060893818899717,22.774,1
VIDEO_7333701921573850374,62.406,9
VIDEO_7062046390570061061,14.721,0
VIDEO_7348384350297165061,20.366,1
VIDEO_7081276473687985413,7.565,0
VIDEO_7527665793501318456,22.362,0
VIDEO_7073906588079246598,25.606,3
VIDEO_7064244808700726533,10.066,0
VIDEO_7086527236471311622,28.181,1
VIDEO_7070907935722917126,47.688,8
VIDEO_7345477638619778309,47.863,9
VIDEO_7063505399307144454,48.998,4
VIDEO_6895288761354112258,18.294,0
VIDEO_7320606856995523846,26.172,3
VIDEO_7082037036730813701,25.265,1
VIDEO_7080535307816291589,26.074,2
VIDEO_7175115192966106374,18.51,0
VIDEO_7597437745258073400,17.633,0
VIDEO_7457617290348072197,22.237,0
VIDEO_7053136217717607686,40.766,4
VIDEO_7479794065983147269,16.301,0
VIDEO_7079071645771500806,23.186,2
VIDEO_7346623546229099781,29.13,5
VIDEO_6918691694791691525,40.011,7
VIDEO_7221953102184779013,21.783,1
VIDEO_7319511492888366342,54.492,10
VIDEO_7066872454249073925,18.416,0
VIDEO_7198947136300403974,44.159,8
VIDEO_7084552539126926597,34.674,3
VIDEO_7083159832185933061,9.28,0
VIDEO_7426721230721453318,8.285,0
VIDEO_7083882172154645765,42.776,9
VIDEO_7082815811529805062,20.093,0
VIDEO_7199338065867934982,10.824,2
VIDEO_7064585014561754373,23.229,1
VIDEO_7217463144069844230,37.811,6
VIDEO_7087653844863208709,49.108,8
VIDEO_7174823379453644037,59.898,8
VIDEO_7575902535349816588,26.36,3
VIDEO_7184475894335950085,50.909,9
VIDEO_7078352231413697797,20.726,0
VIDEO_6980696986135710981,40.933,3
VIDEO_7061663961090936070,17.221,0
VIDEO_7329596850804100358,54.299,10
VIDEO_7060191695681375493,13.69,0
VIDEO_7559134249731853579,13.822,0
VIDEO_7058348964306783493,14.167,0
VIDEO_7070569241413422342,7.146,0
VIDEO_7059081815985818886,16.658,1
VIDEO_7064977105032858885,23.639,1
VIDEO_7488241037907905797,10.16,0
VIDEO_7079836018203020549,2.636,0
VIDEO_7580037763580415244,32.164,6
VIDEO_7187448552354794758,51.441,8
VIDEO_7087592356664315141,33.071,4
VIDEO_7064650116321250566,13.226,0
VIDEO_6921676134212029701,22.986,0
VIDEO_7267229404584037638,17.466,1
VIDEO_7085404371671846150,43.66,6
VIDEO_7076502785742720261,11.665,1
VIDEO_7328066217929985286,8.204,1
VIDEO_7066474035613388037,19.557,1
VIDEO_6926459852134845701,26.539,1
VIDEO_7070218376328563973,14.989,1
VIDEO_7577087400501857592,26.924,1
VIDEO_7524995526518000901,19.431,0
VIDEO_7068731699701484806,56.759,5
VIDEO_6946128715000663301,44.79,7
VIDEO_7561497104322022667,6.172,0
VIDEO_7329985883539541253,41.598,3
VIDEO_7080188060561837318,29.494,3
VIDEO_7582952363116268812,20.356,0
VIDEO_6897900291631402242,26.785,2
VIDEO_7197470706416815365,44.389,4
